,Config,Scheduler,Iteration,total time,cpu time,write to cpu ratio,task scheduler delay,peak JVM,total shuffle read,total shuffle write,average response time,average response time (worst10%),average response time (worst85),average response time (worst95),average response time (worst100),average proportional slowdown,average proportional slowdown (worst10%),loop100_ average response time,loop100_ average response time (worst 10%),loop100_ average proportional slowdown,loop100_ average proportional slowdown (worst 10%),loop100_ average response time (worst 1%),loop100_ average proportional slowdown (worst 1%),user1_power_ average response time,user1_power_ average proportional slowdown (worst 10%),user1_power_ average response time (worst 10%),user1_power_ average proportional slowdown,user2_power_ average response time,user2_power_ average proportional slowdown (worst 10%),user2_power_ average response time (worst 10%),user2_power_ average proportional slowdown,user3_small_ average response time,user3_small_ average proportional slowdown (worst 10%),user3_small_ average response time (worst 10%),user3_small_ average proportional slowdown,user4_small_ average response time,user4_small_ average proportional slowdown (worst 10%),user4_small_ average response time (worst 10%),user4_small_ average proportional slowdown,loop20_ DVR,loop20_ violation count,loop20_ DSR,loop20_ slack count,loop100_ DVR,loop100_ violation count,loop100_ DSR,loop100_ slack count,loop1000_ DVR,loop1000_ violation count,loop1000_ DSR,loop1000_ slack count,user1_power_ DVR,user1_power_ violation count,user1_power_ DSR,user1_power_ slack count,user2_power_ DVR,user2_power_ violation count,user2_power_ DSR,user2_power_ slack count,user3_small_ DVR,user3_small_ violation count,user3_small_ DSR,user3_small_ slack count,user4_small_ DVR,user4_small_ violation count,user4_small_ DSR,user4_small_ slack count,best user DVR,worst user DVR ,best user DSR,worst user DSR,Total DVR,Total violations,Total DSR,Total gains
8,2_power_2_small_users,CUSTOM_CLUSTERFAIR,0.0,148.2279999256134,0.0,0.0,0.0,0.651303288,0.000362496,0.000362496,34.265266296656236,52.60216665267944,30.28510203166884,48.64885185382985,53.93799998760223,15.222241802157367,23.368354799057943,34.265266296656236,52.60216665267944,15.222241802157367,23.368354799057943,55.32699990272522,24.578853799522527,31.220100003480912,22.820024437927657,51.36787500977516,13.869435807854689,36.63313747942448,24.0269324637582,54.08462497591972,16.27416147464437,38.19599999984106,20.960906302860074,47.18300008773804,16.968458462834764,34.84983332951864,20.424255949822808,45.97500014305115,15.481933953584466,,0.0,,0.0,3.1192230782254837,60.0,-0.3532607011268191,124.0,3.1192230782254837,60.0,-0.3532607011268191,124.0,2.6577007012467386,71.0,-0.36242794299474507,193.0,2.0033004505472856,96.0,-0.3532607011268191,248.0,2.813564414220144,108.0,-0.3532607011268191,248.0,3.119223078225484,120.0,-0.3532607011268191,248.0,2.0033004505472856,3.119223078225484,-0.3532607011268191,-0.36242794299474507,3.119223078225484,120.0,-0.3532607011268191,248.0
9,2_power_2_small_users,CUSTOM_CLUSTERFAIR,1.0,145.6449999809265,0.0,0.0,0.0,0.59612296,0.000362496,0.000362496,32.71702174129693,50.01977774831984,28.97476191261188,46.20055553648207,51.32269997596741,14.534438801109252,22.221136272021248,32.71702174129693,50.01977774831984,14.534438801109252,22.221136272021248,52.61299991607666,23.373167443836806,29.433612501621248,21.31119500208515,47.97149994969368,13.075794092235114,35.22943750321865,22.970568625358194,51.706749975681305,15.650571969444087,36.37050004800161,19.928476218380748,44.85899996757507,16.15748558329702,34.203499952952065,19.519768943261273,43.93899989128113,15.194802289183501,,0.0,,0.0,3.347045195221685,53.0,-0.3618938500269899,131.0,3.347045195221685,53.0,-0.3618938500269899,131.0,2.8750528589658315,62.0,-0.37282490361015275,202.0,2.205899926828524,82.0,-0.36189385002699,262.0,3.0458972111308538,94.0,-0.36189385002699,262.0,3.3470451952216855,106.0,-0.36189385002699,262.0,2.205899926828524,3.3470451952216855,-0.36189385002699,-0.37282490361015275,3.3470451952216855,106.0,-0.36189385002699,262.0
10,2_power_2_small_users,CUSTOM_CLUSTERFAIR,2.0,146.78600001335144,0.0,0.0,0.0,0.60153952,0.000362496,0.000362496,33.427222822023474,51.746888836224876,29.47702040802054,47.61633332570394,53.184599947929385,14.84994350156529,22.988400193791588,33.427222822023474,51.746888836224876,14.84994350156529,22.988400193791588,55.30899977684021,24.570857297574502,28.264187487959862,21.205852954242555,47.734375,12.556280536632546,38.20081249773502,23.78648375204434,53.54337492585182,16.970596400593077,35.03525002797445,20.347845390180858,45.80299997329712,15.564304765870476,34.415500005086265,19.821856933824222,44.61899995803833,15.288982676626503,,0.0,,0.0,3.017913660418579,58.0,-0.366370013155528,126.0,3.017913660418579,58.0,-0.366370013155528,126.0,2.70396153964339,65.0,-0.3836482541656018,199.0,1.9492434211374128,92.0,-0.36637001315552803,252.0,2.701261447111392,104.0,-0.36637001315552803,252.0,3.0179136604185794,116.0,-0.36637001315552803,252.0,1.9492434211374128,3.0179136604185794,-0.36637001315552803,-0.3836482541656018,3.0179136604185794,116.0,-0.36637001315552803,252.0
11,2_power_2_small_users,CUSTOM_CLUSTERFAIR,1.0,146.88633330663046,0.0,0.0,0.0,0.6163219226666666,0.000362496,0.000362496,33.46983695332555,51.45627774574139,29.57896145076709,47.48858023867195,52.81509997049967,14.868874701610636,22.859297088290262,33.46983695332555,51.45627774574139,14.868874701610636,22.859297088290262,54.41633319854736,24.174292846977945,29.63929999768734,21.779024131418456,49.02458331982295,13.167170145574117,36.687795826792716,23.594661613720245,53.11158329248428,16.298443281560512,36.53391669193904,20.412409303807227,45.94833334287008,16.23008293733409,34.489611095852325,19.92196060896943,44.84433333079021,15.321906306464824,,0.0,,0.0,3.161393977955249,57.0,-0.3605081881031123,127.0,3.161393977955249,57.0,-0.3605081881031123,127.0,2.745571699951987,66.0,-0.37296703359016653,198.0,2.0528145995044076,90.0,-0.36050818810311236,254.0,2.8535743574874632,102.0,-0.36050818810311236,254.0,3.1613939779552496,114.0,-0.36050818810311236,254.0,2.0528145995044076,3.1613939779552496,-0.36050818810311236,-0.37296703359016653,3.1613939779552496,114.0,-0.36050818810311236,254.0
24,2_power_2_small_users,CUSTOM_CLUSTERFAIR_PARTITIONER,0.0,146.33799982070923,0.0,0.0,0.0,0.578338184,0.000472236,0.000472236,32.95323370332303,50.57150003645155,29.161469393035993,46.58103704452515,51.89710004329682,14.639375256918273,22.466237244092202,32.95323370332303,50.57150003645155,14.639375256918273,22.466237244092202,53.21399998664856,23.640159922989138,29.759950014948846,21.961683712763975,49.43575003743172,13.220768553953283,35.83881250023842,23.124722362570843,52.05375003814697,15.92128498455727,35.7987499833107,20.057307831820566,45.1489999294281,15.903487331546287,32.15908336639404,19.450910670764706,43.78399991989136,14.286576351130185,,0.0,,0.0,2.748145167088945,62.0,-0.39675410064521915,122.0,2.748145167088945,62.0,-0.39675410064521915,122.0,2.2647029825043314,76.0,-0.4086496267923043,188.0,1.7640179649406909,100.0,-0.39675410064521915,244.0,2.5219717332943707,112.0,-0.39675410064521915,244.0,2.7481451670889445,124.0,-0.39675410064521915,244.0,1.7640179649406909,2.7481451670889445,-0.39675410064521915,-0.4086496267923043,2.7481451670889445,124.0,-0.39675410064521915,244.0
25,2_power_2_small_users,CUSTOM_CLUSTERFAIR_PARTITIONER,1.0,146.37800002098083,0.0,0.0,0.0,0.638241344,0.000472236,0.000472236,32.98676630595456,50.59066663848029,29.19691837401617,46.58051851060655,51.994399952888486,14.654272015084208,22.474751949569207,32.98676630595456,50.59066663848029,14.654272015084208,22.474751949569207,53.382999897003174,23.71523762638968,29.07808749973774,22.10117724936361,49.74974998831749,12.917853176249547,36.27307499349117,22.930919567991076,51.61749994754791,16.114204794976086,36.7737500667572,19.99911145600463,45.01799988746643,16.336628194916567,33.34891666968664,19.431363842530757,43.74000000953674,14.815156228203746,,0.0,,0.0,3.1662486182411036,56.0,-0.36604426314099237,128.0,3.1662486182411036,56.0,-0.36604426314099237,128.0,2.698066484154584,66.0,-0.3818436820916359,198.0,2.065699030545374,88.0,-0.36604426314099237,256.0,2.91176073861639,100.0,-0.36604426314099237,256.0,3.1662486182411036,112.0,-0.36604426314099237,256.0,2.065699030545374,3.1662486182411036,-0.36604426314099237,-0.3818436820916359,3.1662486182411036,112.0,-0.36604426314099237,256.0
26,2_power_2_small_users,CUSTOM_CLUSTERFAIR_PARTITIONER,2.0,145.53000020980835,0.0,0.0,0.0,0.690551816,0.000472236,0.000472236,32.473989123883456,49.811833315425446,28.72302040113073,45.978666658754705,51.150600004196164,14.42647228959727,22.128757581264075,32.473989123883456,49.811833315425446,14.42647228959727,22.128757581264075,52.41000008583069,23.282985377978978,28.514524987339975,21.620724106936493,48.66824996471405,12.667492220053296,36.13622500002384,22.681752558233256,51.05662500858307,16.05340959574582,34.456166664759316,19.928476218380748,44.85899996757507,15.307048718240475,32.47333331902822,19.33274105992226,43.51800012588501,14.426180950256871,,0.0,,0.0,2.6824231898110678,62.0,-0.39299117320675253,122.0,2.6824231898110678,62.0,-0.39299117320675253,122.0,2.322399618523964,72.0,-0.4043005427372723,192.0,1.7120031005296699,100.0,-0.39299117320675253,244.0,2.4357293909888464,112.0,-0.39299117320675253,244.0,2.6824231898110678,124.0,-0.39299117320675253,244.0,1.7120031005296699,2.6824231898110678,-0.39299117320675253,-0.4043005427372723,2.6824231898110678,124.0,-0.39299117320675253,244.0
27,2_power_2_small_users,CUSTOM_CLUSTERFAIR_PARTITIONER,1.0,146.08200001716614,0.0,0.0,0.0,0.635710448,0.000472236,0.000472236,32.80466304438701,50.32466666345243,29.027136056060968,46.38007407129547,51.68070000012715,14.573373187199916,22.356582258308492,32.80466304438701,50.32466666345243,14.573373187199916,22.356582258308492,53.002333323160805,23.5461276424526,29.117520834008854,21.89452835635469,49.28458333015442,12.935371316752043,36.08270416458448,22.91246482959839,51.57595833142598,16.029633125093056,35.67622223827574,19.994965168735316,45.0086665948232,15.849054748234444,32.660444451702965,19.405005191072576,43.68066668510437,14.5093045098636,,0.0,,0.0,2.865605658380372,60.0,-0.38526317899765467,124.0,2.865605658380372,60.0,-0.38526317899765467,124.0,2.42838969506096,71.33333333333333,-0.39826461720707085,192.66666666666666,1.847240032005245,96.0,-0.38526317899765467,248.0,2.623153954299869,108.0,-0.38526317899765467,248.0,2.865605658380372,120.0,-0.38526317899765467,248.0,1.847240032005245,2.865605658380372,-0.38526317899765467,-0.39826461720707085,2.865605658380372,120.0,-0.38526317899765467,248.0
12,2_power_2_small_users,CUSTOM_FAIR,0.0,140.86299991607666,0.0,0.0,0.0,0.626094072,0.000362496,0.000362496,41.177146739285924,68.95672223303053,35.75694557436469,58.14592595453615,75.03839998245239,18.292823962366025,30.633817073758557,41.177146739285924,68.95672223303053,18.292823962366025,30.633817073758557,140.14800000190735,62.260328743628314,46.22376249730587,29.725066638956697,66.91112500429153,20.53476787974494,46.97713750302792,32.63305198452516,73.45700001716614,20.869452466915995,3.75,2.160373130198427,4.86299991607666,1.6659262549977785,6.293583333492279,5.118613982401864,11.522000074386597,2.795905523541661,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,80.0,,0.0,0.0,160.0,,0.0,0.0,172.0,,0.0,0.0,184.0,,,0.0,0.0,,0.0,0.0,184.0
13,2_power_2_small_users,CUSTOM_FAIR,1.0,141.4909999370575,0.0,0.0,0.0,0.657802224,0.000362496,0.000362496,41.66957608124484,73.85455554061465,35.39493196837756,61.340296277293454,80.79590001106263,18.511584220899525,32.80966483368043,41.66957608124484,73.85455554061465,18.511584220899525,32.80966483368043,140.7240002155304,62.51621511129737,47.03807498514652,32.70046645299639,73.60874998569489,20.896523760615956,47.25817500352859,33.35628608553635,75.08499997854233,20.994302533775475,3.9177499810854592,2.4344735757767593,5.480000019073486,1.740448681068618,6.374083340167999,5.262549958298969,11.845999956130981,2.831667410114615,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.31547676973137034,41.0,-0.19549913859874157,39.0,0.3536978365686805,77.0,-0.18539642700335934,83.0,0.32416165724298157,86.0,-0.18013303386328794,86.0,0.30502747745134007,93.0,-0.17278873039526932,91.0,0.30502747745134007,0.3536978365686805,-0.17278873039526932,-0.19549913859874157,0.30502747745134007,93.0,-0.17278873039526932,91.0
14,2_power_2_small_users,CUSTOM_FAIR,2.0,140.55999994277954,0.0,0.0,0.0,0.689335408,0.000362496,0.000362496,41.2156793449236,70.75061109330919,35.368741492835845,60.37470371634872,75.4362999677658,18.3099419568741,31.43074682066156,41.2156793449236,70.75061109330919,18.3099419568741,31.43074682066156,139.81699991226196,62.11328294636248,46.50703749060631,29.62355618209957,66.68262496590614,20.660611946071214,46.77561250030995,33.23228565230468,74.80587500333786,20.779925588764968,3.713333328564962,2.160373236115166,4.863000154495239,1.6496371961639096,6.376083354155223,5.202132402553074,11.710000038146973,2.8325559103310627,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.29332443817136605,45.0,-0.22099852282603968,35.0,0.33334150982507593,78.0,-0.17704589255459927,82.0,0.30451224742344307,86.0,-0.1716538235502512,86.0,0.28613269320610385,93.0,-0.16437440283738344,91.0,0.28613269320610385,0.33334150982507593,-0.16437440283738344,-0.22099852282603968,0.28613269320610385,93.0,-0.16437440283738344,91.0
15,2_power_2_small_users,CUSTOM_FAIR,1.0,140.97133326530457,0.0,0.0,0.0,0.6577439013333334,0.000362496,0.000362496,41.354134055151455,71.1872962889848,35.50687301185937,59.95364198272611,77.09019998709361,18.371450046713214,31.62474290936685,41.354134055151455,71.1872962889848,18.371450046713214,31.62474290936685,140.2296667098999,62.29660893376272,46.58962499101956,30.683029758017554,69.06749998529752,20.69730119547737,47.00364166895549,33.07387457412206,74.44929166634877,20.881226863152147,3.7936944365501404,2.251739980696784,5.068666696548462,1.685337377410102,6.3479166759384995,5.194432114417968,11.69266668955485,2.8200429479957796,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,28.666666666666664,-0.13883255380826043,51.333333333333336,,51.66666666666667,-0.12081410651931954,108.33333333333333,,57.333333333333336,-0.11726228580451303,114.66666666666667,,62.0,-0.11238771107755091,122.0,,,-0.11238771107755091,-0.13883255380826043,,62.0,-0.11238771107755091,122.0
44,2_power_2_small_users,CUSTOM_FAIR_PARTITIONER,0.0,141.18699979782104,0.0,0.0,0.0,0.660710352,0.000472236,0.000472236,41.50776086553283,73.97111112541623,35.13232652670672,61.52033332542137,81.19270000457763,18.43969829654946,32.86144430271711,41.50776086553283,73.97111112541623,18.43969829654946,32.86144430271711,140.47299981117249,62.40470893432806,46.32309999167919,32.027543319272546,72.09400001168251,20.578898263740196,47.62737500667572,34.16076188667887,76.89587500691414,21.158318528065625,3.7100833455721536,2.3407374737475615,5.269000053405762,1.6481934009649724,6.405749936898549,5.026210524780598,11.313999891281128,2.845735200754575,,0.0,,0.0,,0.0,0.0,184.0,,0.0,0.0,184.0,,0.0,0.0,264.0,,0.0,0.0,344.0,,0.0,0.0,356.0,,0.0,0.0,368.0,,,0.0,0.0,,0.0,0.0,368.0
