,Config,Scheduler,Iteration,total time,cpu time,write to cpu ratio,task scheduler delay,peak JVM,total shuffle read,total shuffle write,average response time,average response time (worst10%),average response time (worst85),average response time (worst95),average response time (worst100),average proportional slowdown,average proportional slowdown (worst10%),loop1000_ average response time,loop1000_ average response time (worst 10%),loop1000_ average proportional slowdown,loop1000_ average proportional slowdown (worst 10%),loop1000_ average response time (worst 1%),loop1000_ average proportional slowdown (worst 1%),user1_big_ average response time,user1_big_ average proportional slowdown (worst 10%),user1_big_ average response time (worst 10%),user1_big_ average proportional slowdown,user2_big_ average response time,user2_big_ average proportional slowdown (worst 10%),user2_big_ average response time (worst 10%),user2_big_ average proportional slowdown,user3_big_ average response time,user3_big_ average proportional slowdown (worst 10%),user3_big_ average response time (worst 10%),user3_big_ average proportional slowdown,user4_big_ average response time,user4_big_ average proportional slowdown (worst 10%),user4_big_ average response time (worst 10%),user4_big_ average proportional slowdown,loop20_ DVR,loop20_ violation count,loop20_ DSR,loop20_ slack count,loop100_ DVR,loop100_ violation count,loop100_ DSR,loop100_ slack count,loop1000_ DVR,loop1000_ violation count,loop1000_ DSR,loop1000_ slack count,user1_big_ DVR,user1_big_ violation count,user1_big_ DSR,user1_big_ slack count,user2_big_ DVR,user2_big_ violation count,user2_big_ DSR,user2_big_ slack count,user3_big_ DVR,user3_big_ violation count,user3_big_ DSR,user3_big_ slack count,user4_big_ DVR,user4_big_ violation count,user4_big_ DSR,user4_big_ slack count,best user DVR,worst user DVR ,best user DSR,worst user DSR,Total DVR,Total violations,Total DSR,Total gains
4,4_large_users,CUSTOM_CLUSTERFAIR,0.0,61.90999984741211,0.0,0.0,0.0,0.568690784,4.5312e-05,4.5312e-05,14.210499987006187,21.516000032424927,13.070666631062826,16.33466672897339,21.516000032424927,1.3078551366256672,1.9802126024964268,14.210499987006187,21.516000032424927,1.3078551366256672,1.9802126024964268,21.516000032424927,1.9802126024964268,13.091749906539917,1.276425379231359,13.86899995803833,1.2048916208678768,13.837500035762787,1.419078727196596,15.418999910354614,1.2735263021271719,14.55299997329712,1.7267498121506915,18.76200008392334,1.3393769245131029,15.359750032424927,1.9802126024964268,21.516000032424927,1.413625698994517,,0.0,,0.0,,0.0,,0.0,0.23591163908362947,13.0,-0.07164527924666754,3.0,0.21235519598482183,17.0,-0.07164527924666754,3.0,0.20283330322856757,18.0,-0.07164527924666754,6.0,0.2036920305639294,22.0,-0.07164527924666754,6.0,0.23591163908362947,26.0,-0.07164527924666754,6.0,0.20283330322856757,0.23591163908362947,-0.07164527924666754,-0.07164527924666754,0.23591163908362947,26.0,-0.07164527924666754,6.0
5,4_large_users,CUSTOM_CLUSTERFAIR,1.0,61.36800003051758,0.0,0.0,0.0,0.62523076,4.5312e-05,4.5312e-05,14.011562556028366,20.671000003814697,12.997583389282227,15.84766674041748,20.671000003814697,1.2895460453755798,1.9024435142252722,14.011562556028366,20.671000003814697,1.2895460453755798,1.9024435142252722,20.671000003814697,1.9024435142252722,12.65450006723404,1.1996686839842334,13.035000085830688,1.1646495851303704,13.686000108718872,1.3911923220722537,15.116000175476074,1.2595830940793218,14.476500034332275,1.678707837608646,18.240000009536743,1.3323362969336225,15.229250013828278,1.9024435142252722,20.671000003814697,1.4016152053590056,,0.0,,0.0,,0.0,,0.0,0.2258430116041649,11.0,-0.07015698747002641,5.0,0.19090307460874295,14.0,-0.059368884490676614,6.0,0.19090307460874295,14.0,-0.07015698747002641,10.0,0.19334364777076973,18.0,-0.07015698747002641,10.0,0.22584301160416495,22.0,-0.07015698747002641,10.0,0.19090307460874295,0.22584301160416495,-0.059368884490676614,-0.07015698747002641,0.22584301160416495,22.0,-0.07015698747002641,10.0
6,4_large_users,CUSTOM_CLUSTERFAIR,2.0,61.49400019645691,0.0,0.0,0.0,0.63151856,4.5312e-05,4.5312e-05,14.174437507987022,21.473999977111816,13.106833338737488,16.011666695276897,21.473999977111816,1.304536147253879,1.9763471517290336,14.174437507987022,21.473999977111816,1.304536147253879,1.9763471517290336,21.473999977111816,1.9763471517290336,13.684000015258789,1.4419953046646599,15.667999982833862,1.2593990166360305,13.218000054359436,1.2963048215127673,14.085000038146973,1.2165109801076281,14.530999958515167,1.6400533957628618,17.820000171661377,1.3373521658934395,15.264750003814697,1.9763471517290336,21.473999977111816,1.4048824263784174,,0.0,,0.0,,0.0,,0.0,0.2699349536699792,12.0,-0.18826691960633468,4.0,0.2689425747297237,16.0,-0.18826691960633468,4.0,0.2689425747297237,16.0,-0.18826691960633468,8.0,0.2544070699694664,20.0,-0.18826691960633468,8.0,0.26993495366997916,24.0,-0.18826691960633468,8.0,0.2544070699694664,0.26993495366997916,-0.18826691960633468,-0.18826691960633468,0.26993495366997916,24.0,-0.18826691960633468,8.0
7,4_large_users,CUSTOM_CLUSTERFAIR,1.0,61.590666691462204,0.0,0.0,0.0,0.6084800346666666,4.5312e-05,4.5312e-05,14.132166683673859,21.220333337783813,13.05836111969418,16.06466672155592,21.220333337783813,1.3006457764183752,1.9530010894835774,14.132166683673859,21.220333337783813,1.3006457764183752,1.9530010894835774,21.220333337783813,1.9530010894835774,13.143416663010917,1.3060297892934174,14.190666675567627,1.2096467408780927,13.580500066280365,1.3688586235938724,14.873333374659218,1.249873458771374,14.520166655381523,1.6818370151740665,18.274000088373818,1.3363551291133884,15.284583350022633,1.9530010894835774,21.220333337783813,1.4067077769106466,,0.0,,0.0,,0.0,,0.0,0.2438965347859245,12.0,-0.1100230621076762,4.0,0.22406694844109615,15.666666666666668,-0.10642702778122629,4.333333333333333,0.2208929841890114,16.0,-0.1100230621076762,8.0,0.21714758276805518,20.0,-0.1100230621076762,8.0,0.24389653478592455,24.0,-0.1100230621076762,8.0,0.2160478159355923,0.24389653478592455,-0.10642702778122629,-0.1100230621076762,0.24389653478592455,24.0,-0.1100230621076762,8.0
20,4_large_users,CUSTOM_CLUSTERFAIR_PARTITIONER,0.0,56.460999965667725,0.0,0.0,0.0,0.620349704,0.000243788,0.000243788,12.889750018715858,15.230999946594238,12.406166712443033,14.04366660118103,15.230999946594238,1.1863006781754966,1.4017762594076884,12.889750018715858,15.230999946594238,1.1863006781754966,1.4017762594076884,15.230999946594238,1.4017762594076884,11.696749985218048,1.2876535766469555,13.990999937057495,1.0765036109905708,12.508000016212463,1.3008144884748907,14.133999824523926,1.151166537776675,13.357250094413757,1.2864571500650666,13.978000164031982,1.2293267769006264,13.996999979019165,1.4017762594076884,15.230999946594238,1.288205787034114,,0.0,,0.0,,0.0,,0.0,0.018000854874056973,2.0,-0.3112885116323357,14.0,0.018000854874056973,2.0,-0.3671599556257684,18.0,0.018000854874056973,2.0,-0.35648434437144655,22.0,0.018000854874056973,2.0,-0.33082159200941236,26.0,0.018000854874056973,4.0,-0.31128851163233573,28.0,0.018000854874056973,0.018000854874056973,-0.31128851163233573,-0.3671599556257684,0.018000854874056973,4.0,-0.31128851163233573,28.0
21,4_large_users,CUSTOM_CLUSTERFAIR_PARTITIONER,1.0,56.30400013923645,0.0,0.0,0.0,0.596713376,0.000243788,0.000243788,12.88475002348423,15.270999908447266,12.406583348910013,14.002000093460083,15.270999908447266,1.185840506509984,1.40545763273179,12.88475002348423,15.270999908447266,1.185840506509984,1.40545763273179,15.270999908447266,1.40545763273179,11.710500061511993,1.2897703904453013,14.014000177383423,1.0777690912992492,12.519500017166138,1.2922553152447984,14.041000127792358,1.15222493370449,13.345750033855438,1.2819474611602273,13.92900013923645,1.2282683754871324,13.96324998140335,1.40545763273179,15.270999908447266,1.2850996255490634,,0.0,,0.0,,0.0,,0.0,0.011890647635127696,2.0,-0.3125477789831571,14.0,0.011890647635127696,2.0,-0.36738660344275836,18.0,0.011890647635127696,2.0,-0.35688378975003693,22.0,0.011890647635127696,2.0,-0.3314766519925547,26.0,0.011890647635127696,4.0,-0.31254777898315717,28.0,0.011890647635127696,0.011890647635127696,-0.31254777898315717,-0.36738660344275836,0.011890647635127696,4.0,-0.31254777898315717,28.0
22,4_large_users,CUSTOM_CLUSTERFAIR_PARTITIONER,2.0,56.562999963760376,0.0,0.0,0.0,0.572896176,0.000243788,0.000243788,12.922062516212463,15.341000080108643,12.440416673819223,14.042333364486694,15.341000080108643,1.1892745401695701,1.4119000579916838,12.922062516212463,15.341000080108643,1.1892745401695701,1.4119000579916838,15.341000080108643,1.4119000579916838,11.727500081062317,1.3032994352171037,14.16100001335144,1.0793336782533998,12.54925000667572,1.2882978147844015,13.997999906539917,1.1549629567599944,13.383999943733215,1.283143887742116,13.941999912261963,1.2317886837911936,14.027500033378601,1.4119000579916838,15.341000080108643,1.291012841873692,,0.0,,0.0,,0.0,,0.0,0.02539736046354101,2.0,-0.30897696810268677,14.0,0.02539736046354101,2.0,-0.3643320678400972,18.0,0.02539736046354101,2.0,-0.35384931368619166,22.0,0.02539736046354101,2.0,-0.3279343857899786,26.0,0.02539736046354101,4.0,-0.30897696810268677,28.0,0.02539736046354101,0.02539736046354101,-0.30897696810268677,-0.3643320678400972,0.02539736046354101,4.0,-0.30897696810268677,28.0
23,4_large_users,CUSTOM_CLUSTERFAIR_PARTITIONER,1.0,56.442666689554855,0.0,0.0,0.0,0.5966530853333333,0.000243788,0.000243788,12.898854186137516,15.280999978383381,12.417722245057423,14.029333353042603,15.280999978383381,1.1871385749516836,1.406377983377054,12.898854186137516,15.280999978383381,1.1871385749516836,1.406377983377054,15.280999978383381,1.406377983377054,11.711583375930786,1.2935744674364535,14.055333375930786,1.0778687935144067,12.525583346684776,1.29378920616803,14.057666619618733,1.1527848094137199,13.362333357334137,1.2838494996558032,13.949666738510132,1.2297946120596508,13.995916664600372,1.406377983377054,15.280999978383381,1.2881060848189565,,0.0,,0.0,,0.0,,0.0,0.018429620990908557,2.0,-0.31093775290605985,14.0,0.018429620990908557,2.0,-0.366292875636208,18.0,0.018429620990908557,2.0,-0.35573914926922506,22.0,0.018429620990908557,2.0,-0.33007754326398187,26.0,0.018429620990908557,4.0,-0.31093775290605985,28.0,0.018429620990908557,0.018429620990908557,-0.31093775290605985,-0.366292875636208,0.018429620990908557,4.0,-0.31093775290605985,28.0
8,4_large_users,CUSTOM_FAIR,0.0,56.86199998855591,0.0,0.0,0.0,0.602036768,4.5312e-05,4.5312e-05,13.518937483429909,15.134000062942505,13.142249981562296,14.487333297729492,15.134000062942505,1.244207582111261,1.3928489312910133,13.518937483429909,15.134000062942505,1.244207582111261,1.3928489312910133,15.134000062942505,1.3928489312910133,12.376249969005585,1.1831024820830598,12.855000019073486,1.1390409984819458,13.706499993801117,1.333946892277238,14.49399995803833,1.2614697891308377,13.886749982833862,1.3373521604077605,14.530999898910522,1.278058992483904,14.106249988079071,1.3928489312910133,15.134000062942505,1.2982605483483567,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,4.0,,0.0,0.0,8.0,,0.0,0.0,12.0,,0.0,0.0,16.0,,,0.0,0.0,,0.0,0.0,16.0
9,4_large_users,CUSTOM_FAIR,1.0,57.56100010871887,0.0,0.0,0.0,0.590097496,4.5312e-05,4.5312e-05,13.550625041127205,15.07800006866455,13.144083360830942,14.667666753133139,15.07800006866455,1.2471239281328246,1.3876950042487275,13.550625041127205,15.07800006866455,1.2471239281328246,1.3876950042487275,15.07800006866455,1.3876950042487275,12.580750048160553,1.2388753362171758,13.460999965667725,1.1578620448355392,13.527750074863434,1.3434264527237874,14.597000122070312,1.2450186438602395,13.81800001859665,1.3541024397522254,14.713000059127808,1.2717316293402647,14.276000022888184,1.3876950042487275,15.07800006866455,1.313883394495254,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.03242031787385662,3.0,-0.011869420981652539,1.0,0.029858098761977675,5.0,-0.03893159909745441,3.0,0.026969241931444437,6.0,-0.027982107099503984,6.0,0.029670777979520415,9.0,-0.02808139693121032,7.0,0.026969241931444437,0.03242031787385662,-0.011869420981652539,-0.03893159909745441,0.029670777979520415,9.0,-0.02808139693121032,7.0
